surface,winner,winner_hand,winner_age,loser_hand,loser_age,w_ace,w_SvGms,l_ace,l_SvGms,winner_rank,loser_rank
Clay,Player1,R,33.0924024641,R,29.5496235455,6,10,4,9,92,65
Clay,Player1,L,28.720054757,R,26.46954141,1,10,1,10,59,20
Clay,Player1,R,25.4729637235,R,23.8165639973,5,11,5,11,112,280
Clay,Player1,L,28.334017796,R,21.7522245038,3,11,5,11,77,81
Clay,Player1,R,29.5496235455,R,31.7015742642,7,8,0,9,65,15
Clay,Player1,R,33.0924024641,R,35.0417522245,9,10,1,10,92,43
Clay,Player1,R,26.46954141,L,28.6844626968,3,14,4,13,20,168
Clay,Player1,L,28.720054757,L,31.0499657769,5,11,1,11,59,71
Clay,Player1,R,25.4729637235,R,23.7371663244,1,11,5,10,112,113
Clay,Player1,R,23.8165639973,R,27.5674195756,2,6,0,7,280,23
Clay,Player1,L,28.334017796,R,25.8699520876,10,14,5,14,77,74
Clay,Player1,R,21.7522245038,R,26.3463381246,3,13,4,12,81,19
Clay,Player1,R,29.5496235455,L,23.6413415469,2,10,3,9,65,76
Clay,Player1,R,33.0924024641,L,28.9363449692,8,10,4,10,92,149
Clay,Player1,R,35.0417522245,R,36.0027378508,2,15,2,16,43,135
Clay,Player1,L,28.6844626968,R,18.9048596851,2,18,5,18,168,451
Clay,Player1,L,31.0499657769,R,25.6372347707,6,15,1,16,71,116
Clay,Player1,L,28.720054757,R,37.1389459274,1,8,1,8,59,114
Clay,Player1,R,25.4729637235,R,23.318275154,1,10,5,10,112,41
Clay,Player1,R,23.7371663244,R,33.0321697467,2,9,2,8,113,82
Clay,Player1,R,23.8165639973,L,23.4524298426,2,10,0,10,280,64
Clay,Player1,L,28.334017796,R,31.7262149213,3,16,6,15,77,49
Clay,Player1,R,25.8699520876,R,29.3744010951,0,9,0,8,74,181
Clay,Player1,R,21.7522245038,R,27.5017111567,4,9,2,8,81,70
Hard,Player1,R,33.8015058179,R,27.8850102669,6,9,6,9,210,44
Hard,Player1,R,33.8015058179,R,29.2320328542,7,8,1,8,210,90
Hard,Player1,R,27.8850102669,R,33.3826146475,5,10,2,10,44,79
Hard,Player1,R,29.2320328542,R,33.6344969199,3,10,8,10,90,128
Hard,Player1,R,33.8015058179,R,31.9780971937,18,17,8,17,210,35
Hard,Player1,R,27.8850102669,L,19.8083504449,4,12,4,12,44,25
Hard,Player1,R,33.3826146475,R,26.9377138946,13,18,12,18,79,72
Hard,Player1,R,33.6344969199,R,24.9472963723,12,17,9,17,128,17
Hard,Player1,R,29.2320328542,R,30.431211499,2,16,14,16,90,83
Hard,Player1,R,33.8015058179,R,34.1054072553,11,10,2,10,210,31
Hard,Player1,R,31.9780971937,R,23.2525667351,9,10,2,11,35,150
Hard,Player1,R,27.8850102669,R,24.9445585216,8,14,8,14,44,80
Hard,Player1,L,19.8083504449,R,32.8158795346,6,11,4,11,25,111
Hard,Player1,R,33.3826146475,R,29.7440109514,2,7,3,7,79,58
Hard,Player1,R,26.9377138946,R,28.1615331964,3,10,11,10,72,21
Hard,Player1,R,33.6344969199,L,31.0581793292,7,9,0,9,128,132
Hard,Player1,R,30.431211499,R,21.9794661191,14,11,4,11,83,73
Hard,Player1,R,29.2320328542,R,35.3045859001,6,10,4,9,90,32
Hard,Player1,R,33.8015058179,L,20.6105407255,21,15,17,16,210,86
Hard,Player1,R,23.2525667351,R,34.8966461328,1,7,2,8,150,311
Hard,Player1,R,31.9780971937,R,33.2703627652,9,7,2,7,35,124
Hard,Player1,R,27.8850102669,R,26.4668035592,7,8,2,7,44,63
Hard,Player1,R,24.9445585216,R,29.6947296372,17,15,2,14,80,84
Hard,Player1,R,32.8158795346,R,39.9342915811,11,18,27,18,111,78
Hard,Player1,R,29.7440109514,R,28.7419575633,8,11,3,10,58,96
Hard,Player1,R,33.3826146475,R,31.8439425051,11,15,3,15,79,142
Hard,Player1,R,26.9377138946,R,37.0376454483,7,11,10,11,72,195
Hard,Player1,R,22.9815195072,R,26.9897330595,6,9,4,10,16,47
Hard,Player1,R,26.9897330595,R,22.8145106092,6,17,10,16,47,53
Hard,Player1,R,22.9815195072,R,32.4271047228,5,9,2,9,16,33
Hard,Player1,R,22.8145106092,L,35.2224503765,8,16,7,16,53,26
Hard,Player1,R,26.9897330595,R,30.8090349076,,,,,47,18
Hard,Player1,R,22.9815195072,L,29.568788501,9,8,3,9,16,38
Hard,Player1,R,32.4271047228,R,20.4818617385,5,10,6,11,33,12
Hard,Player1,R,22.8145106092,R,22.7077344285,9,16,8,15,53,11
Hard,Player1,L,35.2224503765,R,28.3011635866,8,13,10,12,26,56
Hard,Player1,R,30.8090349076,R,31.1923340178,2,13,11,13,18,45
Hard,Player1,R,26.9897330595,U,29.2703627652,5,16,4,15,47,121
Hard,Player1,L,29.568788501,R,31.5537303217,6,11,5,11,38,180
Hard,Player1,R,22.9815195072,R,31.832991102,8,14,2,14,16,54
Hard,Player1,R,32.4271047228,R,31.1101984942,15,11,1,10,33,55
Hard,Player1,R,20.4818617385,R,28.7802874743,10,11,7,11,12,51
Hard,Player1,R,22.8145106092,R,32.4106776181,10,11,3,11,53,106
Hard,Player1,R,28.3011635866,R,33.8562628337,11,15,13,16,56,57
Hard,Player1,L,35.2224503765,R,21.2457221081,7,8,2,7,26,
Hard,Player1,R,31.1923340178,U,17.7330595483,14,16,2,15,45,
Hard,Player1,U,29.2703627652,L,30.6009582478,1,11,7,11,121,46
Hard,Player1,R,26.9897330595,R,34.9541409993,4,10,2,10,47,37
Hard,Player1,R,31.5537303217,R,26.9486652977,11,12,7,12,180,22
Hard,Player1,L,29.568788501,R,27.5674195756,9,12,1,11,38,99
Hard,Player1,R,31.832991102,R,25.5222450376,7,9,6,9,54,336
Hard,Player1,R,32.4271047228,R,32.9828884326,9,10,8,9,33,185
Hard,Player1,R,31.1101984942,R,23.6769336071,1,11,9,11,55,88
Hard,Player1,R,28.7802874743,U,27.1321013005,12,10,5,9,51,122
Clay,Player1,R,26.3655030801,R,26.4887063655,4,8,0,7,18,19
Clay,Player1,R,26.4887063655,R,25.440109514,1,15,2,15,19,8
Clay,Player1,R,26.3655030801,L,28.7392197125,4,9,2,9,18,50
Clay,Player1,R,25.440109514,R,33.1115674196,4,15,4,14,8,78
Clay,Player1,R,26.4887063655,L,31.0691307324,2,10,1,9,19,96
Clay,Player1,R,26.3655030801,R,25.8891170431,3,11,3,11,18,119
Clay,Player1,L,28.7392197125,R,21.7713894593,2,15,6,16,50,77
Clay,Player1,R,25.440109514,L,23.6605065024,0,10,1,10,8,85
Clay,Player1,R,33.1115674196,R,29.8699520876,1,11,1,11,78,41
Clay,Player1,R,26.4887063655,R,29.568788501,0,13,5,13,19,57
Clay,Player1,L,31.0691307324,R,36.8624229979,2,16,0,14,96,149
Clay,Player1,R,25.8891170431,R,23.7563312799,0,10,2,9,119,109
Clay,Player1,R,26.3655030801,R,22.7022587269,2,11,0,11,18,93
Clay,Player1,L,28.7392197125,R,31.7453798768,5,14,10,15,50,51
Clay,Player1,R,21.7713894593,R,31.7207392197,5,16,4,16,77,15
Clay,Player1,L,23.6605065024,L,28.9555099247,1,9,0,9,85,148
